Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
R1;li1;li1,met1,met2,met3,met4,met5,poly.$1.18;;0.0
R2;li1,met1,met2,met3,met4,met5,poly.$0.17;li1,met1,met2,met3,met4,met5,poly.$1.18;;152.0
R3;li1,met1,met2,met3,met4,met5,poly.$0.17;poly;;0.0
R4;li1,met1,met2,met3,met4,met5,poly.$1.18;li1,met1,met2,met3,met4,met5,poly.$2.18;;0.0
R5;li1,met1,met2,met3,met4,met5,poly.$10.39;li1,met1,met2,met3,met4,met5,poly.$11.27;;0.38
R6;li1,met1,met2,met3,met4,met5,poly.$10.39;li1,met1,met2,met3,met4,met5,poly.$9.39;;0.0
R7;li1,met1,met2,met3,met4,met5,poly.$11.27;met5;;0.0
R8;li1,met1,met2,met3,met4,met5,poly.$2.18;li1,met1,met2,met3,met4,met5,poly.$3.25;;9.3
R9;li1,met1,met2,met3,met4,met5,poly.$3.25;li1,met1,met2,met3,met4,met5,poly.$4.25;;0.0
R10;li1,met1,met2,met3,met4,met5,poly.$3.25;met1;;0.0
R11;li1,met1,met2,met3,met4,met5,poly.$4.25;li1,met1,met2,met3,met4,met5,poly.$5.26;;4.5
R12;li1,met1,met2,met3,met4,met5,poly.$5.26;li1,met1,met2,met3,met4,met5,poly.$6.26;;0.0
R13;li1,met1,met2,met3,met4,met5,poly.$5.26;met2;;0.0
R14;li1,met1,met2,met3,met4,met5,poly.$6.26;li1,met1,met2,met3,met4,met5,poly.$7.35;;3.41
R15;li1,met1,met2,met3,met4,met5,poly.$7.35;li1,met1,met2,met3,met4,met5,poly.$8.35;;0.0
R16;li1,met1,met2,met3,met4,met5,poly.$7.35;met3;;0.0
R17;li1,met1,met2,met3,met4,met5,poly.$8.35;li1,met1,met2,met3,met4,met5,poly.$9.39;;3.41
R18;li1,met1,met2,met3,met4,met5,poly.$9.39;met4;;0.0
