"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2114","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-09-22","passed","2026-09-22","","rcx25_CC_sky130A_test","",""
"","72","test_show_reads_both_kinds","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DCLITest","pex25d_cli_test","",""
"","11","test_json_diagnostics_carry_the_codes","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DCLITest","pex25d_cli_test","",""
"","0","test_a_bowtie_is_not_simple","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DGeometryTest","geometry_test","",""
"","3","test_e0103_trailing_tokens","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","2169","test_nfet_li1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","2026-09-22","failed","2026-09-22","","rcx25_R_sky130A_test","",""
"","417","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests","2026-09-22","passed","2026-09-22","","rcx25_test","",""
"","1","test_klayout_polygon_to_pb","Unit Tests","2026-09-22","passed","2026-09-22","ShapesConverterTest","shapes_pb2_converter_test","",""
"","3","test_the_reserved_net_name_marks_a_floating_body","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","2061","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-09-22","passed","2026-09-22","","rcx25_CC_sky130A_test","",""
"","2","test_identical_polygons_overlap","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DGeometryTest","geometry_test","",""
"","1","test_the_generated_messages_are_reachable_by_name","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DApiTest","api_test","",""
"","3","test_e0277_an_empty_terminal_node","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","2131","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-09-22","passed","2026-09-22","","rcx25_CC_sky130A_test","",""
